id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude
2024-1013109;06/05/2024;1;Vente;213050;9001;;RUE VICTOR THOURON;7190;83000;83137;Toulon;83;;;83137000BI0696;;;86;;;;;;;;;;1;3;Dépendance;;0;;;;;;5.97128;43.113495
2024-1013112;14/05/2024;1;Vente;79500;39;;RUE MICHEL DE BOURGES;5140;83200;83137;Toulon;83;;;83137000CY0403;;;5;26.27;;;;;;;;;1;2;Appartement;27;1;;;;;;5.91756;43.129333
2024-1013114;07/05/2024;1;Vente;78000;19;B;RUE VINCENT COURDOUAN;7255;83000;83137;Toulon;83;;;83137000CL0209;;;104;38.2;;;;;;;;;1;3;Dépendance;;0;;;;;;5.936117;43.121548
2024-1013114;07/05/2024;1;Vente;78000;19;B;RUE VINCENT COURDOUAN;7255;83000;83137;Toulon;83;;;83137000CL0209;;;104;38.2;;;;;;;;;1;2;Appartement;48;2;;;;;;5.936117;43.121548
2024-1013117;30/04/2024;1;Vente;350000;7;;RUE POURQUOI PAS;5920;83000;83137;Toulon;83;;;83137000BS0203;;;;;;;;;;;;;0;1;Maison;48;3;S;sols;;;280;5.950966;43.110736
2024-1013120;17/05/2024;1;Vente;260000;88;;AV GEORGES CLEMENCEAU;3345;83000;83137;Toulon;83;;;83137000CK0141;;;27;;62;100.01;;;;;;;2;2;Appartement;102;4;;;;;;5.937196;43.123396
2024-1013120;17/05/2024;1;Vente;260000;88;;AV GEORGES CLEMENCEAU;3345;83000;83137;Toulon;83;;;83137000CK0141;;;27;;62;100.01;;;;;;;2;3;Dépendance;;0;;;;;;5.937196;43.123396
2024-1013120;17/05/2024;1;Vente;260000;88;;AV GEORGES CLEMENCEAU;3345;83000;83137;Toulon;83;;;83137000CK0141;;;27;;62;100.01;;;;;;;2;3;Dépendance;;0;;;;;;5.937196;43.123396
2024-1013130;07/05/2024;1;Vente;290000;1267;;COR MARIUS ESCARTEFIGUE;4905;83200;83137;Toulon;83;;;83137000EY0049;;;18;71.05;;;;;;;;;1;2;Appartement;75;3;;;;;;5.945068;43.134724
2024-1013130;07/05/2024;1;Vente;290000;1267;;COR MARIUS ESCARTEFIGUE;4905;83200;83137;Toulon;83;;;83137000EY0049;;;27;;;;;;;;;;1;3;Dépendance;;0;;;;;;5.945068;43.134724
